District,State,Birth_Registration,Electricity,Drinking_Water,Sanitation,Clean_Fuel,Health_Insurance,Female_Literacy,Female_10Y_Schooling,Early_Marriage,Adolescent_Pregnancy,Menstrual_Hygiene,ANC_First_Trimester,ANC_4plus,Postnatal_Care,Institutional_Births,Skilled_Birth_Attendance,Fully_Vaccinated,Vitamin_A,Diarrhoea_Prevalence,Stunting,Wasting,Underweight,Child_Anaemia,Infrastructure_Score,Education_Gender_Score,Maternal_Health_Score,Child_Health_Score,Child_Health_Indicators_Available,Overall_Development_Score,Development_Rank
Tirap,Arunachal Pradesh,0.8168112350268483,0.9611374407582938,0.8947636858211493,0.8133408865599775,0.45854354025005484,0.30722268211920534,0.5970222513089006,0.356663984982569,0.7910085054678008,0.8517975055025679,0.8730280455740578,0.45005458515283836,0.3321667196945593,0.334093347639485,0.6213740458015267,0.6213437590501013,0.4447559366754617,0.6410074996462433,0.8074281353345205,0.46343519494204427,0.7863208629791142,0.8395218257562036,0.6672807141844976,0.7086365784225882,0.6939040585671792,0.47180649146770215,0.6642500242168694,7,0.6346492881685847,450
West Siang,Arunachal Pradesh,0.6259809995869475,0.6274881516587676,0.9840190411424686,0.8284945475145163,0.5321342399649046,0.26293460264900664,0.643324607329843,0.438321265754894,0.6721055372331193,0.8272193690388848,0.9363496932515337,0.316457423580786,0.27638137660409373,0.48913626609442057,0.8036895674300254,0.8198667825079641,,0.5238432149426915,0.9208852709234292,0.7612223393045311,0.7564838191416112,0.8358992936062308,0.7070993339946153,0.6435085970861019,0.703464094521655,0.5411062832434579,0.7509055453188515,6,0.6597461300425166,389
Kokrajhar,Assam,0.939281288723668,0.8085308056872037,0.7840870452227133,0.6084124061747629,0.38067558675148055,0.5073468543046358,0.574770942408377,0.18691338160364704,0.3714632876236764,0.5858400586940573,0.696319018404908,0.5554039301310043,0.3454236928624456,0.5815450643776825,0.7698473282442748,0.7390674775557486,0.19294195250659635,0.35616244516768086,0.9129992368354108,0.5477344573234985,0.631627266467753,0.49320775221880103,0.2951679183789145,0.671388997810744,0.48306133774693316,0.5982574986342312,0.48997728984266503,7,0.5606712810086434,591
Goalpara,Assam,0.9745972738537794,0.6701421800947869,0.842400544032642,0.6524571590426287,0.3032463259486729,0.7241307947019866,0.5801701570680629,0.1311343523732904,0.27495226523173055,0.5106382978723405,0.6110867659947414,0.53125,0.42104146781206914,0.6514216738197425,0.9025445292620865,0.9154358528815523,0.5105540897097625,0.42960237724635636,0.8028491477995421,0.4571127502634351,0.5450998393389948,0.48867958703133496,0.49298568796939213,0.6944957129457494,0.42159636770803316,0.68433870475509,0.5324119256226882,7,0.5832106777578903,549
Barpeta,Assam,0.9175960346964066,0.6483412322274884,0.9683781026861612,0.48732474153802574,0.3295678876946698,0.597578642384106,0.5921138743455499,0.24215607401448108,0.30411386911994437,0.48055759354365374,0.5785495179666958,0.4889465065502183,0.4160568459009439,0.6117221030042919,0.842239185750636,0.8200115841297422,0.25164907651715035,0.2936182255553984,0.9562452302213178,0.6497365648050579,0.6543493229286207,0.6549538127150879,0.4538755845260025,0.658131106871143,0.439498185798065,0.6357952450671664,0.5592039738955193,7,0.5731571279079735,572
Morigaon,Assam,0.9339116067740603,0.6676145339652451,0.9080244814688881,0.4687721285936837,0.317503838561088,0.6350372516556292,0.655759162303665,0.14548136229552155,0.32147196667245265,0.5759354365370506,0.6617002629272568,0.5141921397379913,0.3986636971046771,0.576716738197425,0.8511450381679391,0.8546191717347233,0.5611807387862797,0.4635630394792699,0.8636479267361995,0.3662802950474184,0.7328436997934359,0.5781561311356639,0.5975627036984554,0.655143973503099,0.47206963814718933,0.6390673569885512,0.5947477906681033,7,0.5902571898267357,534
Lakhimpur,Assam,0.9723254853366377,0.9118483412322274,0.680720843250595,0.6370202520889393,0.30116253564378154,0.6810844370860927,0.7405104712041884,0.382274068114776,0.36938031591737547,0.6995597945707996,0.7777169149868536,0.4735262008733625,0.501749920458161,0.5732296137339056,0.9511450381679389,0.9539530842745437,0.4894459102902376,0.5309183529078818,0.9058763673365555,0.46596417281348784,0.6839568510442966,0.5075167542111937,0.3704123565254357,0.6973603157730456,0.5938883129587986,0.6907207715015823,0.5648701093041556,7,0.6367098773843956,445
Dhemaji,Assam,0.9659231722428747,0.8423380726698264,0.9192451547092826,0.5878770712363689,0.14213643342838342,0.6796357615894039,0.7014070680628273,0.4027889514615178,0.4438465544176358,0.6034482758620691,0.7228308501314636,0.6801310043668122,0.6130024392830629,0.6425697424892705,0.8377862595419847,0.8766290182450044,0.8303100263852242,0.5180416018112353,0.9765962859323327,0.49378292939936774,0.6832683038788157,0.6649157761275132,0.3176987388408672,0.68952594431269,0.5748643399871026,0.7300236927852269,0.6406590946250509,7,0.6587682679275176,392
Tinsukia,Assam,0.8374638579099545,0.8641390205371249,0.9462767766065965,0.5298116414105652,0.35380565913577533,0.6091680463576159,0.5220876963350786,0.1614373826763207,0.6559625065092866,0.7762289068231842,0.7218448729184925,0.6056222707423581,0.6233959062466857,0.6522263948497854,0.7790076335877862,0.7562988705473501,,0.45040328286401593,0.8761129483591962,0.5856691253951527,0.6089052100068855,0.5475457344683935,0.41249822870908315,0.6901108336596055,0.5675122730524725,0.6833102151947932,0.5801890883004545,6,0.6302806025518314,459
Dibrugarh,Assam,0.8742255266418835,0.8224328593996839,0.9670180210812649,0.6520322900439032,0.3962491774511954,0.5967508278145696,0.6214005235602094,0.26883883078573334,0.6004165943412603,0.8235509904622158,0.779031551270815,0.6749454148471615,0.7559656379255488,0.7660944206008583,0.912086513994911,0.9325224442513756,,0.4102164992217349,0.8524548460951412,0.7013698630136986,0.6286435620840027,0.5509871400108676,0.41150630579566394,0.7181181170720835,0.6186476980840467,0.8083228863239711,0.5925297027035182,6,0.684404601045905,332
